D,W,ID,MT,TP
150,25,3.585,2.0347,1.7619
150,90,1.737,0.3951,4.3967
150,35,3.0995,0.5965,5.1963
150,25,3.585,0.6628,5.4091
150,35,3.0995,0.5102,6.0757
150,35,3.0995,0.4999,6.2001
150,90,1.737,0.366,4.7459
150,90,1.737,0.4456,3.898
150,35,3.0995,0.5262,5.8908
150,90,1.737,0.5629,3.086
250,35,3.8365,0.5628,6.8171
250,25,4.3219,0.6341,6.8163
250,25,4.3219,0.6325,6.8328
250,25,4.3219,0.5665,7.6298
250,90,2.4739,0.4277,5.7841
250,35,3.8365,0.6141,6.2476
250,25,4.3219,0.5939,7.2769
250,25,4.3219,0.5626,7.6815
250,25,4.3219,0.7148,6.0461
250,35,3.8365,0.5111,7.507
